Date	Open	High	Low	Close 	Adj Close 	Volume
Oct 29, 2024	79.72	82.97	79.10	81.74	81.74	11,248,151
Oct 28, 2024	82.21	82.53	79.45	79.68	79.68	6,567,500
Oct 25, 2024	79.02	81.72	79.02	81.36	81.36	3,889,100
Oct 24, 2024	77.86	78.71	77.14	78.60	78.60	2,174,100
Oct 23, 2024	77.69	80.13	76.65	77.68	77.68	4,083,700
Oct 22, 2024	77.77	78.50	76.54	77.29	77.29	3,285,000
Oct 21, 2024	80.56	80.56	77.90	78.55	78.55	3,750,600
Oct 18, 2024	76.61	81.36	76.42	80.90	80.90	5,428,500
Oct 17, 2024	76.98	78.74	75.94	76.29	76.29	3,074,900
Oct 16, 2024	75.16	77.87	73.59	77.26	77.26	4,455,200
Oct 15, 2024	74.80	76.48	74.14	75.17	75.17	5,701,300
Oct 14, 2024	73.75	75.67	72.82	74.87	74.87	5,488,800
Oct 11, 2024	69.95	73.25	69.74	73.25	73.25	5,076,300
Oct 10, 2024	70.69	71.66	69.30	69.90	69.90	3,974,100
Oct 9, 2024	73.64	75.20	70.44	71.00	71.00	5,019,000
Oct 8, 2024	70.75	72.98	70.24	70.77	70.77	2,494,700
Oct 7, 2024	72.99	73.42	70.13	70.44	70.44	2,811,200
Oct 4, 2024	69.52	72.88	68.80	72.38	72.38	7,415,600
Oct 3, 2024	68.06	68.97	67.35	67.47	67.47	4,120,300
Oct 2, 2024	65.49	68.31	64.90	67.78	67.78	3,992,000
Oct 1, 2024	65.93	66.61	64.51	65.97	65.97	3,150,500
Sep 30, 2024	66.94	67.81	65.32	65.92	65.92	3,558,300
Sep 27, 2024	66.59	68.35	66.12	67.08	67.08	3,922,300
Sep 26, 2024	69.00	69.00	65.71	66.52	66.52	4,310,300
Sep 25, 2024	66.96	69.11	66.35	67.88	67.88	4,321,100
Sep 24, 2024	65.28	67.28	63.60	66.96	66.96	4,444,900
Sep 23, 2024	66.00	66.96	64.78	65.00	65.00	3,645,600
Sep 20, 2024	64.82	66.94	64.17	66.17	66.17	8,518,300
Sep 19, 2024	64.99	67.19	63.90	64.56	64.56	5,105,700
Sep 18, 2024	61.92	64.09	61.54	63.66	63.66	4,688,400
Sep 17, 2024	61.37	61.98	59.31	61.89	61.89	3,824,400
Sep 16, 2024	58.60	60.10	57.22	59.15	59.15	2,683,800
Sep 13, 2024	59.63	60.25	58.04	59.09	59.09	3,726,000
Sep 12, 2024	60.00	62.66	59.38	59.63	59.63	4,785,700
Sep 11, 2024	56.50	60.00	55.84	59.87	59.87	3,466,500
Sep 10, 2024	57.52	57.87	55.48	56.87	56.87	2,615,600
Sep 9, 2024	57.14	58.50	55.25	57.46	57.46	4,540,600
Sep 6, 2024	59.24	60.41	55.80	56.85	56.85	3,074,500
Sep 5, 2024	56.80	59.56	56.38	58.71	58.71	2,699,600
Sep 4, 2024	56.72	58.81	56.06	57.00	57.00	2,772,100
Sep 3, 2024	59.24	60.08	57.49	57.53	57.53	3,016,000
Aug 30, 2024	59.00	60.41	58.47	60.03	60.03	4,152,500
Aug 29, 2024	57.58	60.29	57.10	58.75	58.75	5,040,100
Aug 28, 2024	57.88	57.93	55.02	56.14	56.14	4,033,100
Aug 27, 2024	57.72	60.27	56.54	59.00	59.00	3,716,300
Aug 26, 2024	59.29	59.98	57.51	58.26	58.26	2,555,700
Aug 23, 2024	56.51	59.68	56.13	59.21	59.21	5,286,700
Aug 22, 2024	56.50	57.45	55.30	56.43	56.43	3,939,000
Aug 21, 2024	54.88	57.11	54.27	56.89	56.89	4,179,400
Aug 20, 2024	53.50	55.06	52.39	55.02	55.02	4,206,300
Aug 19, 2024	54.79	54.90	52.49	54.36	54.36	4,487,400
Aug 16, 2024	54.87	55.14	53.90	54.92	54.92	3,005,700
Aug 15, 2024	55.25	56.85	54.18	55.55	55.55	4,841,800
Aug 14, 2024	53.70	55.03	53.20	54.95	54.95	3,874,000
Aug 13, 2024	53.05	54.69	52.54	54.52	54.52	3,967,800
Aug 12, 2024	52.50	52.97	50.80	52.51	52.51	3,398,000
Aug 9, 2024	53.97	54.11	51.50	52.91	52.91	14,509,800
Aug 8, 2024	51.95	57.74	51.76	54.94	54.94	5,653,300
Aug 7, 2024	54.80	55.24	49.13	50.69	50.69	7,772,200
Aug 6, 2024	58.10	58.50	54.34	54.36	54.36	6,498,300
Aug 5, 2024	53.25	59.13	52.76	56.81	56.81	3,078,900
Aug 2, 2024	56.24	57.81	54.11	57.58	57.58	3,254,200
Aug 1, 2024	64.40	64.64	59.20	59.38	59.38	2,520,400
Jul 31, 2024	59.38	61.27	59.31	60.85	60.85	1,652,100
Jul 30, 2024	60.06	60.59	57.36	58.44	58.44	2,211,200
Jul 29, 2024	62.97	62.98	58.72	59.98	59.98	2,202,900
Jul 26, 2024	62.90	64.32	61.23	62.36	62.36	2,044,300
Jul 25, 2024	62.90	64.36	59.73	62.06	62.06	2,644,500
Jul 24, 2024	65.67	66.30	62.18	62.95	62.95	2,869,100
Jul 23, 2024	67.80	71.41	67.01	67.84	67.84	2,486,500
Jul 22, 2024	66.93	70.46	65.54	68.13	68.13	3,644,800
Jul 19, 2024	65.75	68.27	64.50	64.70	64.70	1,997,300
Jul 18, 2024	66.74	66.74	63.94	65.92	65.92	2,064,100
Jul 17, 2024	68.48	69.79	63.79	65.21	65.21	3,319,000
Jul 16, 2024	70.67	70.69	66.77	70.44	70.44	4,589,300
Jul 15, 2024	74.69	78.08	72.53	72.98	72.98	2,782,800
Jul 12, 2024	70.75	76.73	69.40	73.85	73.85	3,512,600
Jul 11, 2024	70.50	71.89	68.33	70.29	70.29	2,170,300
Jul 10, 2024	71.23	72.28	67.62	69.40	69.40	2,156,100
Jul 9, 2024	73.48	76.74	69.20	70.59	70.59	2,879,900
Jul 8, 2024	72.76	74.12	70.90	72.81	72.81	2,191,100
Jul 5, 2024	73.78	76.20	71.58	72.97	72.97	2,587,200
Jul 3, 2024	71.93	73.97	70.18	73.62	73.62	2,718,100
Jul 2, 2024	65.99	73.52	65.65	73.51	73.51	6,089,600
Jul 1, 2024	64.20	66.69	62.20	66.59	66.59	3,609,100
Jun 28, 2024	64.07	65.82	62.67	63.89	63.89	1,921,900
Jun 27, 2024	62.83	64.70	62.03	63.58	63.58	1,704,800
Jun 26, 2024	60.50	63.88	60.33	63.61	63.61	3,828,400
Jun 25, 2024	56.56	61.57	56.42	61.38	61.38	2,828,500
Jun 24, 2024	57.32	58.89	55.95	56.48	56.48	1,789,200
Jun 21, 2024	56.40	57.65	54.45	57.30	57.30	4,441,000
Jun 20, 2024	60.00	60.10	55.47	57.42	57.42	3,372,100
Jun 18, 2024	61.11	61.64	57.50	60.21	60.21	2,213,100
Jun 17, 2024	61.00	61.13	58.10	60.35	60.35	2,097,100
Jun 14, 2024	63.54	64.94	60.11	60.94	60.94	2,454,900
Jun 13, 2024	66.83	69.04	63.64	63.96	63.96	2,874,500
Jun 12, 2024	62.88	69.59	61.85	65.93	65.93	6,825,700
Jun 11, 2024	60.12	62.05	58.49	61.55	61.55	2,024,100
Jun 10, 2024	60.01	61.38	58.26	59.63	59.63	1,459,100
Jun 7, 2024	61.63	63.80	59.21	59.80	59.80	3,414,000
Jun 6, 2024	58.99	63.57	58.38	63.46	63.46	3,375,200
Jun 5, 2024	54.79	60.24	54.57	60.07	60.07	3,030,000
Jun 4, 2024	55.20	55.40	53.96	54.50	54.50	1,291,000
Jun 3, 2024	57.55	58.64	54.82	55.80	55.80	2,573,100
May 31, 2024	56.21	57.52	53.45	54.24	54.24	2,036,800
May 30, 2024	57.00	59.49	55.76	56.30	56.30	1,860,500
May 29, 2024	57.45	58.63	56.80	57.64	57.64	1,320,000
May 28, 2024	55.12	59.28	53.86	58.49	58.49	3,536,900
May 24, 2024	53.96	56.00	53.21	54.72	54.72	2,017,700
May 23, 2024	56.88	57.26	53.11	54.16	54.16	3,289,600
May 22, 2024	59.00	60.45	55.86	56.69	56.69	3,272,300
May 21, 2024	60.74	62.46	58.84	59.31	59.31	2,694,000
May 20, 2024	61.90	62.00	57.27	61.22	61.22	5,975,200
May 17, 2024	61.20	66.15	60.62	62.04	62.04	15,131,400
May 16, 2024	59.50	60.46	56.29	56.38	56.38	3,219,400
May 15, 2024	60.23	60.93	56.25	59.63	59.63	4,897,600
May 14, 2024	62.57	64.50	59.50	62.34	62.34	7,674,000
May 13, 2024	56.49	61.21	55.59	58.19	58.19	8,179,400
May 10, 2024	50.64	54.75	50.38	53.53	53.53	4,450,800
May 9, 2024	51.24	51.25	48.25	50.11	50.11	3,909,100
May 8, 2024	55.00	55.16	49.70	51.40	51.40	13,509,300
May 7, 2024	47.73	50.33	47.40	49.40	49.40	6,241,700
May 6, 2024	46.99	49.87	46.75	48.27	48.27	2,116,700
May 3, 2024	48.44	48.70	46.24	46.64	46.64	1,188,300
May 2, 2024	46.61	49.64	45.72	47.70	47.70	2,365,000
May 1, 2024	44.87	47.70	44.60	45.88	45.88	1,598,100
Apr 30, 2024	45.47	46.76	44.15	44.44	44.44	1,752,900
Apr 29, 2024	46.05	48.88	45.85	46.28	46.28	2,678,300
Apr 26, 2024	42.98	46.20	42.65	45.43	45.43	2,764,200
Apr 25, 2024	41.64	42.64	40.85	42.45	42.45	1,485,800
Apr 24, 2024	42.66	43.97	42.45	43.15	43.15	1,384,000
Apr 23, 2024	42.07	44.06	41.82	42.82	42.82	1,956,500
Apr 22, 2024	40.88	42.57	40.51	42.04	42.04	1,486,400
Apr 19, 2024	40.57	43.83	40.17	40.88	40.88	2,528,100
Apr 18, 2024	38.80	42.13	37.35	41.72	41.72	2,284,100
Apr 17, 2024	40.40	40.60	38.70	39.17	39.17	2,153,800
Apr 16, 2024	40.50	42.14	39.32	41.14	41.14	1,699,000
Apr 15, 2024	41.94	42.10	39.68	40.00	40.00	3,448,500
Apr 12, 2024	43.47	43.86	42.16	42.27	42.27	2,013,400
Apr 11, 2024	42.05	46.35	42.01	44.53	44.53	4,263,000
Apr 10, 2024	44.00	44.60	41.72	42.09	42.09	4,350,100
Apr 9, 2024	46.40	47.49	44.90	45.00	45.00	2,277,300
Apr 8, 2024	47.86	49.18	45.04	46.15	46.15	2,661,500
Apr 5, 2024	45.68	48.29	44.68	47.56	47.56	2,927,000
Apr 4, 2024	46.70	48.43	45.10	45.78	45.78	4,618,400
Apr 3, 2024	49.70	51.24	46.55	46.99	46.99	4,822,900
Apr 2, 2024	45.06	51.35	44.00	50.45	50.45	9,442,900
Apr 1, 2024	48.95	49.28	44.40	45.97	45.97	12,987,900
Mar 28, 2024	54.52	55.30	49.10	49.32	49.32	12,608,100
Mar 27, 2024	63.76	63.76	55.62	57.75	57.75	18,758,300
