Week_Start,Week_End,Monday_Open,Monday_Close,Week_High,High_Date,Pct_Increase_From_Open,Pct_Increase_From_Close
2024-03-25,2024-03-28,47.09,59.8,74.9,2024-03-26,59.06,25.25
2024-04-01,2024-04-05,48.95,45.97,51.35,2024-04-02,4.9,11.7
2024-04-08,2024-04-12,47.86,46.15,49.18,2024-04-08,2.76,6.57
2024-04-15,2024-04-19,41.94,40.0,43.83,2024-04-19,4.51,9.57
2024-04-22,2024-04-26,40.88,42.04,46.2,2024-04-26,13.01,9.9
2024-04-29,2024-05-03,46.05,46.28,49.64,2024-05-02,7.8,7.26
2024-05-06,2024-05-10,46.99,48.27,55.16,2024-05-08,17.39,14.27
2024-05-13,2024-05-17,56.49,58.19,66.15,2024-05-17,17.1,13.68
2024-05-20,2024-05-24,61.9,61.22,62.46,2024-05-21,0.9,2.03
2024-06-03,2024-06-07,57.55,55.8,63.8,2024-06-07,10.86,14.34
2024-06-10,2024-06-14,60.01,59.63,69.59,2024-06-12,15.96,16.7
2024-06-17,2024-06-21,61.0,60.35,61.64,2024-06-18,1.05,2.14
2024-06-24,2024-06-28,57.32,56.48,65.82,2024-06-28,14.83,16.54
2024-07-01,2024-07-05,64.2,66.59,76.2,2024-07-05,18.69,14.43
2024-07-08,2024-07-12,72.76,72.81,76.74,2024-07-09,5.47,5.4
2024-07-15,2024-07-19,74.69,72.98,78.08,2024-07-15,4.54,6.99
2024-07-22,2024-07-26,66.93,68.13,71.41,2024-07-23,6.69,4.81
2024-07-29,2024-08-02,62.97,59.98,64.64,2024-08-01,2.65,7.77
2024-08-05,2024-08-09,53.25,56.81,59.13,2024-08-05,11.04,4.08
2024-08-12,2024-08-16,52.5,52.51,56.85,2024-08-15,8.29,8.27
2024-08-19,2024-08-23,54.79,54.36,59.68,2024-08-23,8.92,9.79
2024-08-26,2024-08-30,59.29,58.26,60.41,2024-08-30,1.89,3.69
2024-09-09,2024-09-13,57.14,57.46,62.66,2024-09-12,9.66,9.05
2024-09-16,2024-09-20,58.6,59.15,67.19,2024-09-19,14.66,13.59
2024-09-23,2024-09-27,66.0,65.0,69.11,2024-09-25,4.71,6.32
2024-09-30,2024-10-04,66.94,65.92,72.88,2024-10-04,8.87,10.56
2024-10-07,2024-10-11,72.99,70.44,75.2,2024-10-09,3.03,6.76
2024-10-14,2024-10-18,73.75,74.87,81.36,2024-10-18,10.32,8.67
2024-10-21,2024-10-25,80.56,78.55,81.72,2024-10-25,1.44,4.04
2024-10-28,2024-10-29,82.21,79.68,82.97,2024-10-29,0.92,4.13
